,Predicted,Actual
0,0.34307361492729677,0.376
1,0.37178354120483287,0.401
2,0.4245126761368948,0.431
3,0.3863044685651741,0.349
4,0.35061010862475883,0.303
5,0.3400175425301658,0.355
6,0.3771747364357124,0.39
7,0.3685614976045496,0.379
8,0.3590024417969148,0.271
9,0.36936633995981344,0.381
10,0.37764940280353315,0.398
11,0.36831234089309667,0.25
12,0.3568415642659904,0.382
13,0.39312210807439846,0.462
14,0.3372106592856243,0.273
15,0.3684667956491257,0.375
16,0.37393609925499544,0.362
17,0.37902375165509217,0.387
18,0.36265908690682147,0.377
19,0.39435691971624093,0.413
