,Model,Input Parameters,R2 Score,RMSE,MAE
0,LinearRegression,['ProfCurv'],-0.0004265129287299718,0.05263809233697588,0.04005304250194035
1,LinearRegression,['PlnCurv'],-0.00430569553839133,0.05274004645942146,0.03937550047738433
2,LinearRegression,['TWI'],-0.0043522168753595825,0.05274126795456556,0.03970870656390961
3,LinearRegression,"['ProfCurv', 'TWI']",-0.004793570631094868,0.052752855025109756,0.03976503925161347
4,LinearRegression,"['ProfCurv', 'PlnCurv']",-0.009831068057837733,0.0528849269944153,0.03987019838161926
5,LinearRegression,"['PlnCurv', 'TWI']",-0.012142587768166235,0.05294541962531193,0.03929870372902142
6,LinearRegression,"['ProfCurv', 'PlnCurv', 'TWI']",-0.016331399070244723,0.053054865363343084,0.039794282533139526
7,LinearRegression,"['PlnCurv', 'NDVI']",-0.057597467972106964,0.05412124099951143,0.04056305709352277
8,LinearRegression,['NDVI'],-0.0615371456424596,0.05422195136065314,0.04110333077613957
9,LinearRegression,"['ProfCurv', 'NDVI']",-0.06227972991498798,0.05424091316963539,0.04101463825417021
10,LinearRegression,"['ProfCurv', 'PlnCurv', 'NDVI']",-0.06284072212335623,0.05425523365062418,0.04090997574117313
11,LinearRegression,"['DEM_QGIS', 'ProfCurv']",-0.06420077158307058,0.054289936032996276,0.041232897995131204
12,LinearRegression,"['DEM_QGIS', 'ProfCurv', 'PlnCurv']",-0.06820433988265351,0.0543919606852405,0.03921873328448947
13,LinearRegression,"['DEM_QGIS', 'PlnCurv']",-0.06848981850944913,0.05439922835133821,0.040854001360292685
14,LinearRegression,['DEM_QGIS'],-0.06922394962788125,0.054417913278533646,0.04162607272007431
15,LinearRegression,"['PlnCurv', 'TWI', 'NDVI']",-0.06936213625303966,0.05442142965358145,0.040304240697752534
16,LinearRegression,"['TWI', 'NDVI']",-0.07079690354276913,0.054457926136520826,0.040716494485794306
17,LinearRegression,"['ProfCurv', 'TWI', 'NDVI']",-0.07089532280248245,0.05446042875191325,0.04068104457839177
18,LinearRegression,"['ProfCurv', 'PlnCurv', 'TWI', 'NDVI']",-0.07290605689750485,0.05451153276011984,0.040836161792628375
19,LinearRegression,"['PlnCurv', 'Texture']",-0.07888413368905711,0.05466318697819897,0.03965581505953307
20,LinearRegression,['Texture'],-0.08120069576165734,0.05472184145268495,0.04059285714285714
21,LinearRegression,"['ProfCurv', 'Texture']",-0.08214663901577679,0.05474577430802406,0.04047209578598432
22,LinearRegression,"['PlnCurv', 'Texture', 'NDVI']",-0.08519745085284813,0.05482289024589922,0.040190904155102736
23,LinearRegression,"['TWI', 'Texture']",-0.08734789109145047,0.054877182210079284,0.04028515770200424
24,LinearRegression,"['ProfCurv', 'TWI', 'Texture']",-0.08763660721479338,0.054884467309836406,0.04023148925381513
25,LinearRegression,"['Texture', 'NDVI']",-0.08805782308550802,0.054895094007523425,0.04122686783119814
26,LinearRegression,"['PlnCurv', 'TWI', 'Texture']",-0.08870580727702237,0.05491143774307725,0.0397157149121697
27,LinearRegression,"['ProfCurv', 'PlnCurv', 'Texture']",-0.08949659086752249,0.05493137663812281,0.04022568922536769
28,LinearRegression,"['ProfCurv', 'Texture', 'NDVI']",-0.0896502985570049,0.05493525139884907,0.041055197998352354
29,LinearRegression,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'TPI']",-0.08985349381479524,0.05494037325410872,0.03937348729935117
30,LinearRegression,"['ProfCurv', 'PlnCurv', 'TPI']",-0.09093007266968511,0.05496750215027104,0.039704288712483174
31,LinearRegression,"['ProfCurv', 'PlnCurv', 'Texture', 'NDVI']",-0.09418737609919159,0.05504950208223613,0.04079730464304221
32,LinearRegression,"['PlnCurv', 'TPI']",-0.09534451625832152,0.055078602745735956,0.039943836345157885
33,LinearRegression,"['PlnCurv', 'TWI', 'Texture', 'NDVI']",-0.09709604969591568,0.05512262244793136,0.04025872744572517
34,LinearRegression,"['TWI', 'Texture', 'NDVI']",-0.09727253123252178,0.05512705584914681,0.04090214609723074
35,LinearRegression,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture']",-0.09733680552013557,0.05512867039806509,0.040143062245980646
36,LinearRegression,['TPI'],-0.09755447337784195,0.05513413779171987,0.04097267716423616
37,LinearRegression,"['ProfCurv', 'TWI', 'Texture', 'NDVI']",-0.09783111666925604,0.055141085751354346,0.040805052683630993
38,LinearRegression,"['DEM_QGIS', 'PlnCurv', 'Texture']",-0.09997192849186831,0.055194823158535196,0.04061327024239646
39,LinearRegression,"['DEM_QGIS', 'ProfCurv', 'Texture']",-0.100080407528093,0.05519754474326473,0.040854253589436264
40,LinearRegression,"['DEM_QGIS', 'ProfCurv', 'TPI']",-0.10146171239162194,0.05523218799186241,0.041315026332003776
41,LinearRegression,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'Texture']",-0.10232956318334896,0.05525394265636673,0.03933657184257952
42,LinearRegression,"['DEM_QGIS', 'ProfCurv', 'PlnCurv', 'NDVI']",-0.10316873909780355,0.055274970377161114,0.04076188478168761
43,LinearRegression,"['ProfCurv', 'PlnCurv', 'TPI', 'TWI']",-0.10355585773070497,0.055284667938975074,0.03960443047880313
44,LinearRegression,"['DEM_QGIS', 'Texture']",-0.10360181423620474,0.05528581906498188,0.04142692973334344
45,LinearRegression,"['ProfCurv', 'PlnCurv', 'TWI', 'Texture', 'NDVI']",-0.10392341892752643,0.05529387400082346,0.0407188886862213
46,LinearRegression,"['ProfCurv', 'TPI']",-0.10400867779087286,0.055296009204111,0.04111108977827508
47,LinearRegression,"['TPI', 'TWI']",-0.10506970710784636,0.055322574483067516,0.04055913305039982
48,LinearRegression,"['DEM_QGIS', 'ProfCurv', 'NDVI']",-0.10545940031984569,0.055332328135397846,0.042737077903362244
49,LinearRegression,"['DEM_QGIS', 'PlnCurv', 'NDVI']",-0.10576026675579442,0.055339857361611566,0.04252684090824876
